step,loss,accuracy,threshold,ram_gb,phase,rounds
10,0.729276,0.481348,0.95,0.18,0,8
20,0.731101,0.480396,0.95,0.27,0,8
30,0.727883,0.487012,0.95,0.27,0,8
40,1.945760,0.493896,0.95,0.30,0,8
50,2.251789,0.495898,0.95,0.30,0,8
60,2.249242,0.496582,0.95,0.31,0,8
70,1.303819,0.567065,0.95,0.31,0,8
10,0.738519,0.505469,0.95,0.14,0,8
20,0.371304,0.249878,0.95,0.15,0,8
30,0.735712,0.508447,0.95,0.15,0,8
40,1.666457,0.495996,0.95,0.16,0,8
50,1.890392,0.495386,0.95,0.25,0,8
60,1.897883,0.493262,0.95,0.25,0,8
70,1.156873,0.564038,0.95,0.15,0,8
80,0.665307,0.603149,0.95,0.10,0,8
90,0.666835,0.598682,0.95,0.10,0,8
100,0.980925,0.569336,0.95,0.21,0,8
110,1.494145,0.501440,0.95,0.10,0,8
120,1.483987,0.502222,0.95,0.10,0,8
130,1.322659,0.525000,0.95,0.11,0,8
140,0.648554,0.622437,0.95,0.10,0,8
150,0.645809,0.626709,0.95,0.20,0,8
160,0.650651,0.621362,0.95,0.21,0,8
170,1.029188,0.494849,0.95,0.21,0,8
180,1.012537,0.505762,0.95,0.21,0,8
190,1.021402,0.499902,0.95,0.09,0,8
200,0.739133,0.560327,0.95,0.19,0,8
210,0.672542,0.574243,0.95,0.09,0,8
220,0.672250,0.575098,0.95,0.10,0,8
230,0.794873,0.534692,0.95,0.11,0,8
240,0.885030,0.502686,0.95,0.09,0,8
250,0.880809,0.506323,0.95,0.19,0,8
260,0.786021,0.557349,0.95,0.09,0,8
270,0.647108,0.622412,0.95,0.09,0,8
280,0.647637,0.622192,0.95,0.10,0,8
290,0.671629,0.615625,0.95,0.11,0,8
300,0.778592,0.577026,0.95,0.21,0,8
310,0.780418,0.568628,0.95,0.21,0,8
320,0.783367,0.568726,0.95,0.21,0,8
330,0.656238,0.629492,0.95,0.21,0,8
340,0.658526,0.625269,0.95,0.10,0,8
350,0.660167,0.621777,0.95,0.20,0,8
360,0.669155,0.578174,0.95,0.10,0,8
370,0.669729,0.571509,0.95,0.09,0,8
380,0.672569,0.566553,0.95,0.10,0,8
390,0.689710,0.552466,0.95,0.11,0,8
400,0.703757,0.542383,0.95,0.21,0,8
410,0.699041,0.548218,0.95,0.21,0,8
420,0.682817,0.569287,0.95,0.21,0,8
430,0.653977,0.609814,0.95,0.22,0,8
440,0.658611,0.603662,0.95,0.22,0,8
450,0.661165,0.603955,0.95,0.22,0,8
460,0.665622,0.592896,0.95,0.22,0,8
470,0.671590,0.589990,0.95,0.10,0,8
480,0.671752,0.588379,0.95,0.12,0,8
490,0.648219,0.621777,0.95,0.12,0,8
500,0.650631,0.619336,0.95,0.20,0,8
510,0.650262,0.618311,0.95,0.20,0,8
520,0.658055,0.596387,0.95,0.21,0,8
530,0.668355,0.583887,0.95,0.11,0,8
540,0.666379,0.587939,0.95,0.10,0,8
550,0.651592,0.609546,0.95,0.21,0,8
560,0.642704,0.625732,0.95,0.09,0,8
570,0.641716,0.626880,0.95,0.09,0,8
580,0.644663,0.621069,0.95,0.11,0,8
590,0.658854,0.599951,0.95,0.09,0,8
600,0.658194,0.606543,0.95,0.19,0,8
610,0.652305,0.612109,0.95,0.21,0,8
620,0.642316,0.629224,0.95,0.11,0,8
630,0.641773,0.625171,0.95,0.09,0,8
640,0.641463,0.626123,0.95,0.11,0,8
650,0.648809,0.616895,0.95,0.19,0,8
660,0.648195,0.619336,0.95,0.09,0,8
670,0.652203,0.612305,0.95,0.09,0,8
680,0.647429,0.619604,0.95,0.11,0,8
690,0.645900,0.619507,0.95,0.10,0,8
700,0.646402,0.620703,0.95,0.20,0,8
710,0.646557,0.620557,0.95,0.21,0,8
720,0.642791,0.625732,0.95,0.21,0,8
730,0.645021,0.624634,0.95,0.21,0,8
740,0.639562,0.631177,0.95,0.11,0,8
750,0.638612,0.631055,0.95,0.21,0,8
760,0.639623,0.628369,0.95,0.11,0,8
770,0.642061,0.628247,0.95,0.11,0,8
780,0.645559,0.627295,0.95,0.11,0,8
790,0.645284,0.627026,0.95,0.11,0,8
800,0.643396,0.633447,0.95,0.21,0,8
810,0.635154,0.636523,0.95,0.09,0,8
820,0.636340,0.634131,0.95,0.09,0,8
830,0.639113,0.629419,0.95,0.09,0,8
840,0.643302,0.630566,0.95,0.11,0,8
850,0.643608,0.629590,0.95,0.21,0,8
860,0.646500,0.627393,0.95,0.21,0,8
870,0.639845,0.630713,0.95,0.11,0,8
880,0.630308,0.637378,0.95,0.11,0,8
890,0.637650,0.632349,0.95,0.11,0,8
900,0.634315,0.637964,0.95,0.21,0,8
910,0.642451,0.626123,0.95,0.21,0,8
920,0.643110,0.625562,0.95,0.11,0,8
930,0.640448,0.629614,0.95,0.11,0,8
940,0.633411,0.637695,0.95,0.11,0,8
950,0.635733,0.634473,0.95,0.21,0,8
960,0.632586,0.636890,0.95,0.21,0,8
970,0.638325,0.636963,0.95,0.11,0,8
980,0.640846,0.633228,0.95,0.11,0,8
990,0.639942,0.635693,0.95,0.09,0,8
1000,0.633267,0.639062,0.95,0.19,0,8
1010,0.632547,0.639917,0.95,0.09,0,8
1020,0.628875,0.644165,0.95,0.09,0,8
1030,0.633980,0.637280,0.95,0.11,0,8
1040,0.633321,0.637402,0.95,0.19,0,8
1050,0.634952,0.636206,0.95,0.19,0,8
1060,0.628303,0.646021,0.95,0.09,0,8
1070,0.626506,0.646313,0.95,0.09,0,8
1080,0.627438,0.645117,0.95,0.09,0,8
1090,0.629846,0.640649,0.95,0.11,0,8
1100,0.627441,0.638745,0.95,0.21,0,8
1110,0.629518,0.637183,0.95,0.21,0,8
1120,0.632655,0.633130,0.95,0.21,0,8
1130,0.625815,0.644116,0.95,0.21,0,8
1140,0.626875,0.643823,0.95,0.22,0,8
1150,0.629976,0.640649,0.95,0.22,0,8
1160,0.628720,0.638696,0.95,0.22,0,8
1170,0.629854,0.640234,0.95,0.22,0,8
1180,0.629367,0.638940,0.95,0.22,0,8
1190,0.627591,0.643213,0.95,0.12,0,8
1200,0.622793,0.647241,0.95,0.19,0,8
1210,0.624241,0.643579,0.95,0.19,0,8
1220,0.625765,0.644263,0.95,0.21,0,8
1230,0.627684,0.641772,0.95,0.21,0,8
1240,0.626150,0.640796,0.95,0.21,0,8
1250,0.623302,0.646460,0.95,0.21,0,8
1260,0.626508,0.640381,0.95,0.21,0,8
1270,0.624030,0.643628,0.95,0.22,0,8
1280,0.621887,0.647534,0.95,0.22,0,8
1290,0.622816,0.648730,0.95,0.21,0,8
1300,0.621828,0.646973,0.95,0.21,0,8
1310,0.625938,0.645825,0.95,0.21,0,8
1320,0.622650,0.648804,0.95,0.22,0,8
1330,0.621642,0.648120,0.95,0.22,0,8
1340,0.620365,0.650977,0.95,0.22,0,8
1350,0.622130,0.647583,0.95,0.22,0,8
1360,0.621020,0.648364,0.95,0.22,0,8
1370,0.620300,0.647998,0.95,0.23,0,8
1380,0.615268,0.655713,0.95,0.23,0,8
1390,0.618852,0.651636,0.95,0.23,0,8
1400,0.619388,0.651147,0.95,0.23,0,8
1410,0.616224,0.653760,0.95,0.23,0,8
1420,0.619094,0.650732,0.95,0.24,0,8
1430,0.616065,0.657129,0.95,0.24,0,8
1440,0.617244,0.651563,0.95,0.24,0,8
1450,0.616689,0.653003,0.95,0.20,0,8
1460,0.619037,0.649072,0.95,0.20,0,8
1470,0.617491,0.653198,0.95,0.21,0,8
1480,0.609738,0.658105,0.95,0.22,0,8
1490,0.615055,0.654712,0.95,0.22,0,8
1500,0.617471,0.649146,0.95,0.22,0,8
1510,0.615806,0.653662,0.95,0.22,0,8
1520,0.613881,0.655566,0.95,0.22,0,8
1530,0.616257,0.652539,0.95,0.22,0,8
1540,0.613105,0.654590,0.95,0.21,0,8
1550,0.612482,0.658618,0.95,0.21,0,8
1560,0.611218,0.658423,0.95,0.21,0,8
1570,0.612628,0.656030,0.95,0.21,0,8
1580,0.613095,0.655542,0.95,0.15,0,8
1590,0.613630,0.655420,0.95,0.15,0,8
1600,0.611940,0.659473,0.95,0.21,0,8
1610,0.609173,0.661743,0.95,0.21,0,8
1620,0.609820,0.662988,0.95,0.22,0,8
1630,0.609421,0.661743,0.95,0.22,0,8
1640,0.607885,0.664795,0.95,0.21,0,8
1650,0.605080,0.663208,0.95,0.21,0,8
1660,0.612037,0.658496,0.95,0.20,0,8
1670,0.607105,0.663550,0.95,0.21,0,8
1680,0.604919,0.664819,0.95,0.11,0,8
1690,0.607764,0.660083,0.95,0.10,0,8
1700,0.606846,0.663037,0.95,0.21,0,8
1710,0.603823,0.667700,0.95,0.20,0,8
1720,0.605335,0.666870,0.95,0.20,0,8
1730,0.603714,0.663843,0.95,0.11,0,8
1740,0.608087,0.658691,0.95,0.11,0,8
1750,0.607291,0.659961,0.95,0.20,0,8
1760,0.608307,0.660840,0.95,0.21,0,8
1770,0.603490,0.665723,0.95,0.21,0,8
1780,0.602565,0.668237,0.95,0.21,0,8
1790,0.601113,0.670312,0.95,0.21,0,8
1800,0.605708,0.662085,0.95,0.22,0,8
1810,0.601032,0.668311,0.95,0.22,0,8
1820,0.600601,0.664087,0.95,0.18,0,8
1830,0.602290,0.666431,0.95,0.19,0,8
1840,0.594729,0.674634,0.95,0.19,0,8
1850,0.602761,0.668237,0.95,0.21,0,8
1860,0.602865,0.662866,0.95,0.21,0,8
1870,0.604875,0.662061,0.95,0.15,0,8
1880,0.602565,0.661475,0.95,0.13,0,8
1890,0.601791,0.662451,0.95,0.11,0,8
1900,0.599667,0.669067,0.95,0.21,0,8
1910,0.598012,0.670410,0.95,0.21,0,8
1920,0.599544,0.669482,0.95,0.11,0,8
1930,0.602260,0.660962,0.95,0.11,0,8
1940,0.606645,0.658643,0.95,0.11,0,8
1950,0.601136,0.662598,0.95,0.21,0,8
1960,0.598058,0.667236,0.95,0.20,0,8
1970,0.598849,0.668408,0.95,0.09,0,8
1980,0.594890,0.670410,0.95,0.09,0,8
1990,0.598527,0.667798,0.95,0.11,0,8
2000,0.595171,0.665601,0.95,0.19,0,8
2010,0.602317,0.660352,0.95,0.09,0,8
2020,0.591733,0.672607,0.95,0.11,0,8
2030,0.594503,0.670752,0.95,0.11,0,8
2040,0.598545,0.668018,0.95,0.21,0,8
2050,0.593429,0.675586,0.95,0.21,0,8
2060,0.594204,0.669385,0.95,0.11,0,8
2070,0.593212,0.669824,0.95,0.09,0,8
2080,0.595588,0.668579,0.95,0.11,0,8
2090,0.591616,0.675317,0.95,0.11,0,8
2100,0.589342,0.676050,0.95,0.21,0,8
2110,0.591244,0.675317,0.95,0.20,0,8
2120,0.594838,0.667773,0.95,0.21,0,8
2130,0.597031,0.664746,0.95,0.21,0,8
2140,0.596969,0.664062,0.95,0.10,0,8
2150,0.591895,0.674219,0.95,0.21,0,8
2160,0.589323,0.673804,0.95,0.21,0,8
2170,0.587044,0.679053,0.95,0.21,0,8
2180,0.590929,0.673999,0.95,0.21,0,8
2190,0.596123,0.666431,0.95,0.21,0,8
2200,0.593636,0.669482,0.95,0.20,0,8
2210,0.595343,0.665430,0.95,0.21,0,8
2220,0.586788,0.676709,0.95,0.21,0,8
2230,0.582990,0.681689,0.95,0.21,0,8
2240,0.584727,0.681616,0.95,0.21,0,8
2250,0.592501,0.667603,0.95,0.21,0,8
2260,0.591369,0.669995,0.95,0.22,0,8
2270,0.591680,0.669092,0.95,0.22,0,8
2280,0.582603,0.680151,0.95,0.22,0,8
2290,0.579075,0.682593,0.95,0.22,0,8
2300,0.584164,0.680469,0.95,0.22,0,8
2310,0.587194,0.673584,0.95,0.22,0,8
2320,0.591915,0.669629,0.95,0.22,0,8
2330,0.592809,0.669824,0.95,0.22,0,8
2340,0.590813,0.671680,0.95,0.11,0,8
2350,0.581339,0.681934,0.95,0.19,0,8
2360,0.579461,0.685767,0.95,0.20,0,8
2370,0.582008,0.683960,0.95,0.21,0,8
2380,0.589481,0.673120,0.95,0.11,0,8
2390,0.589960,0.670288,0.95,0.09,0,8
2400,0.585517,0.675000,0.95,0.21,0,8
2410,0.580878,0.680786,0.95,0.21,0,8
2420,0.575302,0.687427,0.95,0.21,0,8
2430,0.580399,0.682739,0.95,0.21,0,8
2440,0.584372,0.675659,0.95,0.11,0,8
2450,0.584356,0.674927,0.95,0.21,0,8
2460,0.581302,0.677588,0.95,0.21,0,8
2470,0.581278,0.678003,0.95,0.21,0,8
2480,0.574105,0.689673,0.95,0.09,0,8
2490,0.575964,0.687988,0.95,0.10,0,8
2500,0.580885,0.680054,0.95,0.21,0,8
2510,0.584316,0.674731,0.95,0.19,0,8
2520,0.582298,0.676685,0.95,0.09,0,8
2530,0.580113,0.681226,0.95,0.10,0,8
2540,0.574436,0.683691,0.95,0.21,0,8
2550,0.571623,0.688525,0.95,0.19,0,8
2560,0.571858,0.689355,0.95,0.10,0,8
2570,0.583642,0.676025,0.95,0.11,0,8
2580,0.577821,0.679785,0.95,0.11,0,8
2590,0.582756,0.675220,0.95,0.11,0,8
2600,0.569064,0.691919,0.95,0.21,0,8
2610,0.569374,0.689600,0.95,0.21,0,8
2620,0.569468,0.688647,0.95,0.22,0,8
2630,0.576077,0.683936,0.95,0.21,0,8
2640,0.576594,0.681104,0.95,0.21,0,8
2650,0.579403,0.679224,0.95,0.21,0,8
2660,0.569707,0.691797,0.95,0.21,0,8
2670,0.568832,0.690356,0.95,0.22,0,8
2680,0.569887,0.688281,0.95,0.22,0,8
2690,0.568454,0.689307,0.95,0.21,0,8
2700,0.579261,0.676953,0.95,0.21,0,8
2710,0.575885,0.683276,0.95,0.21,0,8
2720,0.574346,0.682520,0.95,0.21,0,8
2730,0.567886,0.689355,0.95,0.21,0,8
2740,0.567800,0.689917,0.95,0.21,0,8
2750,0.561616,0.695215,0.95,0.21,0,8
2760,0.571772,0.688013,0.95,0.21,0,8
2770,0.577264,0.679663,0.95,0.21,0,8
2780,0.571116,0.686548,0.95,0.21,0,8
2790,0.568872,0.687085,0.95,0.22,0,8
2800,0.561508,0.695264,0.95,0.22,0,8
2810,0.562714,0.693652,0.95,0.22,0,8
2820,0.566729,0.689795,0.95,0.22,0,8
2830,0.570121,0.685229,0.95,0.22,0,8
3010,0.555301,0.698657,0.95,0.08,0,8
3020,0.556794,0.694385,0.95,0.15,0,8
3030,0.560804,0.690918,0.95,0.25,0,8
3040,0.562071,0.692896,0.95,0.17,0,8
3050,0.553028,0.700610,0.95,0.19,0,8
10,0.732015,0.502905,0.95,0.27,0,8
20,0.732325,0.502051,0.95,0.27,0,8
30,0.733656,0.499121,0.95,0.15,0,8
10,0.714171,0.490015,0.95,0.60,0,8
20,0.714176,0.487378,0.95,0.60,0,8
30,0.711875,0.495972,0.95,0.61,0,8
40,1.464306,0.497241,0.95,0.63,0,8
50,1.656185,0.498682,0.95,0.63,0,8
60,1.659415,0.498462,0.95,0.63,0,8
10,0.714345,0.494775,0.95,0.60,0,8
20,0.713560,0.494849,0.95,0.60,0,8
10,0.712502,0.508350,0.95,0.60,0,8
10,0.705461,0.511597,0.95,0.60,0,8
10,0.712675,0.462866,0.95,0.46,0,8
10,0.707777,0.510059,0.95,0.46,0,8
10,0.708651,0.511084,0.95,0.24,0,8
10,0.695782,0.529687,0.95,0.14,0,8
20,0.696984,0.531519,0.95,0.14,0,8
30,0.695077,0.534009,0.95,0.14,0,8
40,3.023474,0.512085,0.95,0.14,0,8
